id;country;city;district;commune;coordinate
1;Pháp;Kiệt Võchester;Human Quality Frozen;Home;index experiences bypassing
2;Đông Timor;Hàview;optical Michigan;Pants relationships Health;methodical
3;Việt Nam;Hoàngville;Credit;microchip Cabo Tuna;indexing invoice
4;Các Tiểu Vương quốc Ả Rập Thống nhất;Quang Trungmouth;solution policy Grove;Bike Togo grow;Account
5;Saint Kitts và Nevis;South Bích Trangburgh;Guilder;Human National Soap;calculating Shoes
6;Tchad;Athens-Clarke County;grow;alarm Dinar Bacon;object-oriented override
7;Guatemala;South Whittier;Fresh state Savings;invoice;Administrator Borders Guiné-Bissau
8;Việt Nam;Goodyear;calculate bus Cheese;multi-tasking Supervisor;disintermediate Architect Gloves
9;Nicaragua;New Thế Trungshire;Personal calculating;Shoes;circuit
10;Hungary;West Thanh Uyên;transparent purple alarm;COM;Fully-configurable
