id;type;content;url
1;VIOLENCE;Fresh;http://thiện thanh.vn
2;VIOLENCE;XML Infrastructure redundant;https://thanh thiên.com
3;CHEAT;Dakota Somalia Kentucky;http://mai loan.info
4;CHEAT;deposit Slovakia;https://gia bình.info
5;CHEAT;Steel analyzer neural;https://xuân vân.net
6;CHEAT;sky discrete;https://trường thành.com
7;CHEAT;invoice;https://cát ly.net
8;CHEAT;XML Avon;https://hiền hòa.com.vn
9;CHEAT;dynamic infomediaries yellow;http://trường sa.info
10;VIOLENCE;Regional architecture;https://hoàng dũng.com.vn
